,count,mean,std,min,25%,50%,75%,max
WOB_klbs,12600.0,21.546102380952384,3.2294647810864645,9.33,19.36,21.515,23.692500000000003,34.14
RPM,12600.0,82.89186507936509,15.086353168424276,40.0,72.9,82.9,93.0,138.0
Flow_Rate_gpm,12600.0,455.0277619047619,40.202306688093806,284.8,427.6,455.0,481.8,615.8
Torque_kftlbs,12600.0,5.18294126984127,1.2559750044825913,0.7,4.33,5.17,6.03,10.31
Mud_Weight_ppg,12600.0,10.46249365079365,0.23057550747500916,9.76,10.3,10.46,10.62,11.41
Depth_m,12600.0,2893.6917166666667,523.7670512276957,1800.54,2496.19,2875.83,3261.83,4182.26
Bit_Hours,12600.0,18.767111904761904,11.21456752779527,0.01,9.03,18.51,28.09,40.0
MSE_psi,12600.0,173972.89633281287,89234.24632649138,15210.018785198556,112220.59198496242,152906.81266330148,211234.23939592374,816190.3310988131
ROP_m_hr,12600.0,18.669750000000004,6.2017600813315354,3.94,14.05,18.33,23.3125,37.43
